id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
05Mp2UJulSttxQ4E6hQPH3,Ohne mein Team,Palmen aus Plastik,"1aS5tqEs9ci5P9KD9tZWa6,0Dvx6p8JDyzeOPGmaCIH1L,0b62itBWBdLgiecXjXCqKC",0.766,0.8,0.0938,0.16,0.635,129.999,188504
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Escape,0rvjqX7ttXeg3mTy8Xscbt,0.5,0.748,0.0363,0.127,0.514,118.852,250987
3rdAz1fbUfZxYgaCviYhRo,Todo De Ti,VICE VERSA,1mcTU81TzQhprhouKaTkpq,0.78,0.719,0.0506,0.302,0.336,127.962,199604
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition),08GQAI4eElDnROBrJRGE0X,0.73,0.487,0.0303,0.258,0.731,114.965,226653
2PGA1AsJal6cyMNmKyE56q,200 km/h,Platte,1qQLhymHXFPtP5U8KNKsm6,0.899,0.67,0.163,0.269,0.413,148.065,163147
6GomT970rCOkKAyyrwJeZi,Move Your Body,Move Your Body,"37czgDRfGMvgRiUKHvnnhj,0aOIluXr131XqrXFwFCFGT",0.848,0.821,0.0527,0.0169,0.249,125.051,157445
6hw1Sy9wZ8UCxYGdpKrU6M,Roller,Platte,1qQLhymHXFPtP5U8KNKsm6,0.941,0.758,0.17,0.0256,0.683,128.017,157093
6I3mqTwhRpn34SLVafSH7G,Ghost,Justice,1uNFoZAHBGtllmzznpCI3s,0.601,,,,,,153190
1F205Nl2feOSYSztLNOJAL,3 Am,Sauce Boyz,"5XJDexmWFLWOkjOEjOVX3e,00XhexlJEXQstHimpZN910",0.852,0.613,0.108,0.413,0.576,89.951,208237
5ddFjrPG8NgQQ6xlOQIVd2,Tú Me Dejaste De Querer,El Madrileño,"5TYxZTjIPqKM8K8NuP9woO,5IbUz6BcOu6IVY512oxavP,7xtnpHS34mLlxGZDVUBHSU",0.823,0.723,0.229,0.311,0.505,83.97,198493
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,0.0598,0.00146,0.334,171.005,200040
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),The Melodic Blue,"5SXuuuRpukkTvsLuUknva1,2YZyLoL8N0Wb9xBt1NhZWg",0.711,,0.33,0.00588,0.144,134.093,252262
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Traveller,4YLtscXsxbVgi031ovDDdh,0.392,0.37,0.0298,0.205,0.512,48.718,293293
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,"My Dear Melancholy,",1Xyo4u8uXC1ZmMpatF05PJ,0.461,0.593,0.0356,0.17,0.175,134.17,228373
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Native,5Pwc4xIPtQLFEnJriah9YJ,0.664,0.705,0.0382,0.0654,0.477,122.016,257267
4xkOaSrkexMciUUogZKVTS,'Till I Collapse,The Eminem Show,"7dGJo4pcD2V6oG8kP0tJRR,1Oa0bMld0A3u5OTYfMzp5h",0.548,0.847,0.186,0.0622,0.1,171.447,297787
06s3QtMJVXw1AJX3UfvZG1,Hasta Que Dios Diga,Emmanuel,"2R21vXR83lH98kGeO99Y66,4q3ewBCX7sLwd24euuV69X",0.691,,0.111,0.464,0.855,174.021,246000
4WB9OeauHXnGOMUK4s80gM,Trop beau,Jeannine,1Yfe3ONJlioHys7jwHdfVm,0.748,0.66,0.0404,0.295,0.324,123.902,244587
0X5zETsfr8nGAVABRcD4o4,Dans le Réseau,Spleen,5hREZP0zTQbTLkZ2M8RS4v,0.866,0.628,0.0536,0.644,0.731,125.991,145162
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,1989 (Deluxe),06HL4z0CvFAxyc27GXpf02,0.647,0.8,0.165,0.0647,0.942,160.078,219200
6bnF93Rx87YqUBLSgjiMU8,Heartless,After Hours,1Xyo4u8uXC1ZmMpatF05PJ,0.537,0.746,0.15,0.0236,0.252,170.062,198267
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),4GNC7GD6oZMSxPGyXy4MNB,0.459,,0.0573,0.604,0.183,111.881,215107
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,The Marshall Mathers LP,7dGJo4pcD2V6oG8kP0tJRR,0.949,0.661,0.0572,0.0302,0.76,104.504,284200
6mmPpaltUZK7xjNlBPQQ0p,Desesperados,VICE VERSA,"1mcTU81TzQhprhouKaTkpq,37230BxxYs9ksS7OkZw3IU",0.869,0.694,0.0783,0.356,0.511,90.02,224997
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Rumours (Super Deluxe),08GQAI4eElDnROBrJRGE0X,0.545,0.67,0.0496,0.009,0.481,151.553,270213
1Sym1HsTqsa2pYKhYL1j15,Me Gustas Natural,Sauce Boyz 2,"5XJDexmWFLWOkjOEjOVX3e,2IMZYfNi21MGqxopj9fWx8",0.721,0.426,0.11,0.859,0.451,127.083,170079
7fBv7CLKzipRk6EC6TWHOB,The Hills,Beauty Behind The Madness,1Xyo4u8uXC1ZmMpatF05PJ,0.585,0.564,0.0515,0.0671,0.137,113.003,242253
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,06HL4z0CvFAxyc27GXpf02,0.359,0.543,0.0919,0.492,0.453,68.534,221307
6feiJqgHqeSvkGUzf11AYs,Remember (and David Guetta),Only Honest On The Weekend,"4EPJlUEBy49EX1wuFOvtjK,1Cs0zKBU1kc0i8ypK3B9ai",0.626,,0.0378,0.0682,0.555,123.833,161387
70JnnNNAxPjvZGPwjJfX47,El Fin del Mundo,La la Love You Bonus,"5Q30fhTc0Sl0Q4C5dOjhhQ,31IVfzTQ5bAPL8XMrO6dVx",0.602,0.866,0.0471,0.000856,0.677,127.052,188094
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,1989 (Deluxe),06HL4z0CvFAxyc27GXpf02,0.76,0.703,0.054,0.103,0.57,95.997,231827
20RGQHWvqyyacpuxMBeLsZ,La Historia,La Historia,"4PFgfReja3r59JaekHpeuf,42ppAzaKW3DW3bYRmxd1Dw",0.909,0.636,0.191,0.279,0.554,100.01,237900
3z4CGd63tpUn9a6oQSG0CI,Location (feat. Burna Boy),PSYCHODRAMA,"6Ip8FS7vWT1uKkJSweANQK,3wcj11K77LjEY1PkEazffa",0.812,0.496,0.297,0.271,0.55,109.979,241293
6HTJgY7iWWlVLSDHsfHePf,Jefe,Jefe,6Te49r3A6f5BiIgBRxH7FH,0.648,0.599,0.0799,0.474,0.213,120.985,177705
