year	season	games_city	games_country	games_opened	games_closed	games_remark
1896	Summer	Athina	Greece	1896-04-06	1896-04-15	NA
1900	Summer	Paris	France	NA	NA	NA
1904	Summer	St. Louis	United States	1904-05-14	NA	NA
1908	Summer	London	Great Britain	1908-07-13	NA	NA
1912	Summer	Stockholm	Sweden	1912-07-06	1912-07-27	NA
1916	Summer	Berlin	Germany	NA	NA	Not held due to war
1920	Summer	Antwerpen	Belgium	1920-08-14	1920-08-30	NA
1924	Winter	Chamonix	France	1924-01-24	1924-02-05	NA
1924	Summer	Paris	France	1924-07-05	1924-07-27	NA
1928	Winter	Sankt Moritz	Switzerland	1928-02-11	1928-02-17	NA
1928	Summer	Amsterdam	Netherlands	1928-07-28	1928-08-12	NA
1932	Winter	Lake Placid	United States	1932-02-04	1932-02-13	NA
1932	Summer	Los Angeles	United States	1932-07-30	1932-08-14	NA
1936	Winter	Garmisch-Partenkirchen	Germany	1936-02-06	1936-02-16	NA
1936	Summer	Berlin	Germany	1936-08-01	1936-08-16	NA
1940	Winter	Garmisch-Partenkirchen	Germany	NA	NA	Not held due to war
1940	Summer	Helsinki	Finland	NA	NA	Not held due to war
1944	Winter	Cortina d'Ampezzo	Italy	NA	NA	Not held due to war
1944	Summer	London	Great Britain	NA	NA	Not held due to war
1948	Winter	Sankt Moritz	Switzerland	1948-01-30	1948-02-08	NA
1948	Summer	London	Great Britain	1948-07-29	1948-08-14	NA
1952	Winter	Oslo	Norway	1952-02-15	1952-02-25	NA
1952	Summer	Helsinki	Finland	1952-07-19	1952-08-03	NA
1956	Winter	Cortina d'Ampezzo	Italy	1956-01-26	1956-02-05	NA
1956	Summer	Melbourne	Australia	1956-11-22	1956-12-08	NA
1956	Equestrian	Stockholm	Sweden	1956-06-10	1956-06-17	NA
1960	Winter	Squaw Valley	United States	1960-02-18	1960-02-28	NA
1960	Summer	Roma	Italy	1960-08-25	1960-09-11	NA
1964	Winter	Innsbruck	Austria	1964-01-29	1964-02-09	NA
1964	Summer	Tokyo	Japan	1964-10-10	1964-10-24	NA
1968	Winter	Grenoble	France	1968-02-06	1968-02-18	NA
1968	Summer	Ciudad de México	Mexico	1968-10-12	1968-10-27	NA
1972	Winter	Sapporo	Japan	1972-02-03	1972-02-13	NA
1972	Summer	München	West Germany	1972-08-26	1972-09-11	NA
1976	Winter	Innsbruck	Austria	1976-02-04	1976-02-15	NA
1976	Summer	Montréal	Canada	1976-07-17	1976-08-01	NA
1980	Winter	Lake Placid	United States	1980-02-13	1980-02-24	NA
1980	Summer	Moskva	Soviet Union	1980-07-19	1980-08-03	NA
1984	Winter	Sarajevo	Yugoslavia	1984-02-08	1984-02-19	NA
1984	Summer	Los Angeles	United States	1984-07-28	1984-08-12	NA
1988	Winter	Calgary	Canada	1988-02-13	1988-02-28	NA
1988	Summer	Seoul	Republic of Korea	1988-09-17	1988-10-02	NA
1992	Winter	Albertville	France	1992-02-08	1992-02-23	NA
1992	Summer	Barcelona	Spain	1992-07-25	1992-08-09	NA
1994	Winter	Lillehammer	Norway	1994-02-12	1994-02-27	NA
1996	Summer	Atlanta	United States	1996-07-19	1996-08-04	NA
1998	Winter	Nagano	Japan	1998-02-07	1998-02-22	NA
2000	Summer	Sydney	Australia	2000-09-15	2000-10-01	NA
2002	Winter	Salt Lake City	United States	2002-02-08	2002-02-24	NA
2004	Summer	Athina	Greece	2004-08-13	2004-08-29	NA
2006	Winter	Torino	Italy	2006-02-10	2006-02-26	NA
2008	Summer	Beijing	People's Republic of China	2008-08-08	2008-08-24	NA
2010	Winter	Vancouver	Canada	2010-02-12	2010-02-28	NA
2012	Summer	London	Great Britain	2012-07-27	2012-08-12	NA
2014	Winter	Sochi	Russian Federation	2014-02-07	2014-02-23	NA
2016	Summer	Rio de Janeiro	Brazil	2016-08-05	2016-08-21	NA
2018	Winter	PyeongChang	Republic of Korea	2018-02-09	2018-02-25	NA
2020	Summer	Tokyo	Japan	2021-07-23	2021-08-08	NA
2022	Winter	Beijing	People's Republic of China	NA	NA	NA
2024	Summer	Paris	France	NA	NA	NA
2026	Winter	Milano-Cortina d'Ampezzo	Italy	NA	NA	NA
2028	Summer	Los Angeles	United States	NA	NA	NA
2032	Summer	Brisbane	Australia	NA	NA	NA
